days,Date,Open,High,Low,Close,Adj Close,Volume,avg
4,"Thursday, 28 May 2020",39.299999,41.605,39.275002,39.744999,39.744999,75998200,40.440001
5,"Friday, 29 May 2020",40.02,41.66,39.16,41.384998,41.384998,89623200,40.41
1,"Monday, 1 June 2020",41.029999,42.119999,40.814999,41.895,41.895,52470400,41.467499
2,"Tuesday, 2 June 2020",42.119999,42.775002,40.82,42.73,42.73,62678600,41.797501
3,"Wednesday, 3 June 2020",43.075001,43.744999,42.605,43.310001,43.310001,53758400,43.1749995
4,"Thursday, 4 June 2020",43.115002,43.939999,41.68,42.43,42.43,66602200,42.8099995
5,"Friday, 5 June 2020",42.950001,45.264999,42.75,44.945,44.945,70348600,44.0074995
1,"Monday, 8 June 2020",44.794998,46.040001,43.950001,45.945,45.945,54636200,44.995001
2,"Tuesday, 9 June 2020",45.445,47.490002,45.369999,46.970001,46.970001,53294800,46.4300005
3,"Wednesday, 10 June 2020",47.98,49.610001,47.689999,48.665001,48.665001,75727800,48.65
4,"Thursday, 11 June 2020",46.290001,47.105,41.41,41.5,41.5,95833000,44.2575
5,"Friday, 12 June 2020",44.145,44.825001,40.215,42.400002,42.400002,102969200,42.5200005
1,"Monday, 15 June 2020",40.540001,44.34,40.029999,43.895,43.895,99546200,42.1849995
2,"Tuesday, 16 June 2020",46.695,47.060001,44.154999,46.215,46.215,95804400,45.6075
3,"Wednesday, 17 June 2020",47.084999,47.73,46.200001,46.665001,46.665001,64714600,46.9650005
4,"Thursday, 18 June 2020",46.470001,47.18,46.02,47.025002,47.025002,53196400,46.6
5,"Friday, 19 June 2020",48.485001,48.615002,45.98,46.959999,46.959999,72487600,47.297501
1,"Monday, 22 June 2020",46.955002,48.775002,46.755001,48.630001,48.630001,55033400,47.7650015
2,"Tuesday, 23 June 2020",49.685001,51.310001,49.330002,49.900002,49.900002,58724600,50.3200015
3,"Wednesday, 24 June 2020",49.450001,50.235001,45.924999,46.959999,46.959999,98205400,48.08
4,"Thursday, 25 June 2020",46.955002,48.360001,45.369999,48.205002,48.205002,75425800,46.865
5,"Friday, 26 June 2020",48.009998,48.150002,44.450001,44.740002,44.740002,93985200,46.3000015
1,"Monday, 29 June 2020",44.605,46.215,43.139999,46.169998,46.169998,64902400,44.6774995
2,"Tuesday, 30 June 2020",46.16,49.240002,46.064999,48.825001,48.825001,62847200,47.6525005
3,"Wednesday, 1 July 2020",48.93,51.235001,48.619999,50.57,50.57,63034400,49.9275
4,"Thursday, 2 July 2020",52.145,52.935001,51.369999,51.645,51.645,57038000,52.1525
5,"Friday, 3 July 2020",,,,51.645,,,52.1525
1,"Monday, 6 July 2020",53.650002,55.790001,53.645,55.439999,55.439999,52996000,54.7175005
2,"Tuesday, 7 July 2020",55.275002,57.080002,54.119999,54.349998,54.349998,61524800,55.6000005
3,"Wednesday, 8 July 2020",55.215,56.470001,54.244999,56.439999,56.439999,59982800,55.3575
4,"Thursday, 9 July 2020",57.705002,58.334999,54.93,57.849998,57.849998,79399000,56.6324995
5,"Friday, 10 July 2020",57.709999,59.224998,55.945,59.075001,59.075001,60697400,57.584999
1,"Monday, 13 July 2020",61.025002,62.974998,54.845001,55.424999,55.424999,93646200,58.9099995
2,"Tuesday, 14 July 2020",53.794998,56.860001,51.695,56.599998,56.599998,114937800,54.2775005
3,"Wednesday, 15 July 2020",57.43,58.110001,54.695,56.880001,56.880001,91886000,56.4025005
4,"Thursday, 16 July 2020",55.02,56.18,53.494999,55.66,55.66,74993000,54.8374995
5,"Friday, 17 July 2020",56.080002,56.52,54.5,55.919998,55.919998,57750800,55.51
1,"Monday, 20 July 2020",56.400002,61.115002,55.544998,60.68,60.68,62905400,58.33
2,"Tuesday, 21 July 2020",61.794998,61.834999,58.200001,58.740002,58.740002,73578400,60.0175
3,"Wednesday, 22 July 2020",59.084999,60.064999,57.825001,59.419998,59.419998,56947200,58.945
4,"Thursday, 23 July 2020",59.154999,59.619999,53.785,54.764999,54.764999,84162200,56.7024995
5,"Friday, 24 July 2020",52.255001,54.080002,50.505001,53.145,53.145,89304600,52.2925015
1,"Monday, 27 July 2020",54.294998,56.275002,53.740002,56,56,66906000,55.007502
2,"Tuesday, 28 July 2020",55.540001,55.855,53.685001,53.895,53.895,59675600,54.7700005
3,"Wednesday, 29 July 2020",54.845001,56.305,54.575001,55.73,55.73,48570200,55.4400005
4,"Thursday, 30 July 2020",54.450001,56.985001,53.68,56.634998,56.634998,75550000,55.3325005
5,"Friday, 31 July 2020",59.66,59.75,56.439999,59.689999,59.689999,89953800,58.0949995
1,"Monday, 3 August 2020",61.125,62.564999,61.029999,61.915001,61.915001,54467000,61.797499
2,"Tuesday, 4 August 2020",61.66,62.810001,61.169998,62.720001,62.720001,52752000,61.9899995
